# Forces      
# CofR        : (2.929541e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
1.29353       	((-1.492618e-02 9.305816e+00 6.775258e+00) (-3.252255e-02 -2.411244e-03 -5.636751e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.132357e+00 1.985173e+01 -2.725338e+01) (-5.423833e-04 6.447363e-03 5.926816e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.32604       	((-1.946970e-02 9.298580e+00 6.771172e+00) (-3.254844e-02 -2.507025e-03 -5.904402e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.130775e+00 1.983957e+01 -2.722861e+01) (-5.594696e-04 6.382940e-03 6.183613e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.36103       	((-2.235415e-02 9.289617e+00 6.765482e+00) (-3.247941e-02 -2.351441e-03 -6.031688e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.128881e+00 1.982264e+01 -2.719991e+01) (-5.278740e-04 6.340857e-03 5.768190e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.39086       	((-2.649640e-02 9.279621e+00 6.760403e+00) (-3.241367e-02 -2.424564e-03 -5.987798e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.126736e+00 1.980760e+01 -2.716735e+01) (-5.426255e-04 6.339424e-03 5.968454e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.42428       	((-2.991435e-02 9.265987e+00 6.752290e+00) (-3.237676e-02 -2.398797e-03 -5.858549e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.123845e+00 1.978384e+01 -2.712475e+01) (-5.378347e-04 6.386457e-03 5.912401e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.45833       	((-3.357588e-02 9.254793e+00 6.745296e+00) (-3.238839e-02 -2.412921e-03 -5.832061e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.121480e+00 1.976320e+01 -2.708902e+01) (-5.404244e-04 6.400718e-03 5.962213e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.49306       	((-3.619100e-02 9.240992e+00 6.737406e+00) (-3.238366e-02 -2.492746e-03 -5.841809e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.118530e+00 1.974005e+01 -2.704655e+01) (-5.563876e-04 6.419411e-03 6.177700e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.52997       	((-3.871723e-02 9.233784e+00 6.731133e+00) (-3.232796e-02 -2.460281e-03 -5.297978e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.117066e+00 1.972165e+01 -2.702342e+01) (-5.522134e-04 6.575406e-03 6.102573e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.56433       	((-3.968409e-02 9.222080e+00 6.723616e+00) (-3.238329e-02 -2.368058e-03 -5.314931e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.114553e+00 1.969954e+01 -2.698823e+01) (-5.353460e-04 6.594648e-03 5.843306e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.60012       	((-4.058464e-02 9.212323e+00 6.717989e+00) (-3.229926e-02 -2.604217e-03 -4.821567e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.112593e+00 1.968302e+01 -2.695894e+01) (-5.855214e-04 6.751278e-03 6.525309e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.63312       	((-4.244025e-02 9.207739e+00 6.711861e+00) (-3.231507e-02 -2.570575e-03 -4.329008e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.111632e+00 1.966522e+01 -2.694414e+01) (-5.801409e-04 6.892442e-03 6.435089e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.66972       	((-4.082718e-02 9.200702e+00 6.708387e+00) (-3.219180e-02 -2.614484e-03 -3.128603e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.110224e+00 1.965490e+01 -2.692453e+01) (-5.942003e-04 7.228767e-03 6.575972e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.70632       	((-4.190345e-02 9.198471e+00 6.704465e+00) (-3.223193e-02 -2.644878e-03 -3.739195e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.109849e+00 1.964371e+01 -2.691747e+01) (-6.010710e-04 7.062378e-03 6.639977e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.74099       	((-4.078689e-02 9.197976e+00 6.703541e+00) (-3.220370e-02 -2.734204e-03 -2.337775e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.109828e+00 1.964100e+01 -2.691675e+01) (-6.256690e-04 7.477521e-03 6.923464e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
1.77933       	((-3.902727e-02 9.200087e+00 6.703369e+00) (-3.215118e-02 -2.729813e-03 -1.510963e-04) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.110355e+00 1.964061e+01 -2.692434e+01) (-6.284729e-04 7.722362e-03 6.910668e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
